_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cfab27c93a6817a064e,2010,Julian Wright,SF,22,3,NOH,2.1,0.6,0.4,0.3,3.8
66642cfab27c93a6817a064f,2010,Juwan Howard,C,36,16,POR,4.6,0.8,0.4,0.1,6
66642cfab27c93a6817a0650,2010,Kareem Rush,SG,29,7,LAC,0.9,0.6,0.3,0.4,1.3
66642cfab27c93a6817a0651,2010,Keith Bogans,SF,29,7,SAS,2.2,1.2,0.6,0.2,4.4
66642cfab27c93a6817a0652,2010,Kelenna Azubuike,SF,26,4,GSW,4.6,1.1,0.6,1,13.9
66642cfab27c93a6817a0653,2010,Kendrick Perkins,C,25,7,BOS,7.6,1,0.3,1.7,10.1
66642cfab27c93a6817a0654,2010,Kenny Thomas,PF,32,11,SAC,3.3,0.6,0.4,0.4,1.6
66642cfab27c93a6817a0655,2010,Kenyon Martin,PF,32,10,DEN,9.4,1.9,1.2,1.1,11.5
66642cfab27c93a6817a0656,2010,Kevin Durant,SF,21,3,OKC,7.6,2.8,1.4,1,30.1
66642cfab27c93a6817a0657,2010,Kevin Garnett,PF,33,15,BOS,7.3,2.7,1,0.8,14.3
66642cfab27c93a6817a0658,2010,Kevin Love,PF,21,2,MIN,11,2.3,0.7,0.4,14
66642cfab27c93a6817a0659,2010,Kevin Martin,SG,26,6,TOT,3.6,2.4,1,0.1,20.6
66642cfab27c93a6817a065a,2010,Kevin Martin,SG,26,6,SAC,4.3,2.6,1,0.2,19.8
66642cfab27c93a6817a065b,2010,Kevin Martin,SG,26,6,HOU,2.9,2.3,1,0.1,21.3
66642cfab27c93a6817a065c,2010,Kevin Ollie,PG,37,13,OKC,1,0.8,0.4,0,1.8
66642cfab27c93a6817a065d,2010,Keyon Dooling,PG,29,10,NJN,1,2.5,0.6,0,6.9
66642cfab27c93a6817a065e,2010,Kirk Hinrich,SG,29,7,CHI,3.5,4.5,1.1,0.3,10.9
66642cfab27c93a6817a065f,2010,Kobe Bryant,SG,31,14,LAL,5.4,5,1.5,0.3,27
66642cfab27c93a6817a0660,2010,Kosta Koufos,C,20,2,UTA,1.3,0.2,0.1,0.1,1.5
66642cfab27c93a6817a0661,2010,Kris Humphries,PF,24,6,TOT,5.5,0.5,0.5,0.7,7.1
66642cfab27c93a6817a0662,2010,Kris Humphries,PF,24,6,DAL,3.8,0.3,0.3,0.4,5.2
66642cfab27c93a6817a0663,2010,Kris Humphries,PF,24,6,NJN,6.4,0.6,0.7,0.8,8.1
66642cfab27c93a6817a0664,2010,Kurt Thomas,C,37,15,MIL,4.2,0.7,0.4,0.7,3
